,participant_id,device_combo,motion_combo,correct
0,FAB10068F,Head,angular,1.0
1,FAB10068F,Head,linear,0.5
2,FAB10068F,Head,linear_angular,1.0
3,FAB10068F,Head_LeftHand,angular,1.0
4,FAB10068F,Head_LeftHand,linear,1.0
5,FAB10068F,Head_LeftHand,linear_angular,1.0
6,FAB10068F,Head_RightHand,angular,1.0
7,FAB10068F,Head_RightHand,linear,1.0
8,FAB10068F,Head_RightHand,linear_angular,1.0
9,FAB10068F,Head_RightHand_LeftHand,angular,1.0
10,FAB10068F,Head_RightHand_LeftHand,linear,1.0
11,FAB10068F,Head_RightHand_LeftHand,linear_angular,1.0
12,FAB10068F,LeftHand,angular,1.0
13,FAB10068F,LeftHand,linear,1.0
14,FAB10068F,LeftHand,linear_angular,1.0
15,FAB10068F,RightHand,angular,1.0
16,FAB10068F,RightHand,linear,1.0
17,FAB10068F,RightHand,linear_angular,1.0
18,FAB10068F,RightHand_LeftHand,angular,1.0
19,FAB10068F,RightHand_LeftHand,linear,1.0
20,FAB10068F,RightHand_LeftHand,linear_angular,1.0
21,FAB11629F,Head,angular,1.0
22,FAB11629F,Head,linear,1.0
23,FAB11629F,Head,linear_angular,1.0
24,FAB11629F,Head_LeftHand,angular,0.5
25,FAB11629F,Head_LeftHand,linear,1.0
26,FAB11629F,Head_LeftHand,linear_angular,0.5
27,FAB11629F,Head_RightHand,angular,1.0
28,FAB11629F,Head_RightHand,linear,1.0
29,FAB11629F,Head_RightHand,linear_angular,1.0
30,FAB11629F,Head_RightHand_LeftHand,angular,1.0
31,FAB11629F,Head_RightHand_LeftHand,linear,0.5
32,FAB11629F,Head_RightHand_LeftHand,linear_angular,1.0
33,FAB11629F,LeftHand,angular,0.5
34,FAB11629F,LeftHand,linear,0.5
35,FAB11629F,LeftHand,linear_angular,0.5
36,FAB11629F,RightHand,angular,1.0
37,FAB11629F,RightHand,linear,1.0
38,FAB11629F,RightHand,linear_angular,1.0
39,FAB11629F,RightHand_LeftHand,angular,1.0
40,FAB11629F,RightHand_LeftHand,linear,1.0
41,FAB11629F,RightHand_LeftHand,linear_angular,1.0
42,FAB12013F,Head,angular,1.0
43,FAB12013F,Head,linear,1.0
44,FAB12013F,Head,linear_angular,1.0
45,FAB12013F,Head_LeftHand,angular,1.0
46,FAB12013F,Head_LeftHand,linear,1.0
47,FAB12013F,Head_LeftHand,linear_angular,1.0
48,FAB12013F,Head_RightHand,angular,1.0
49,FAB12013F,Head_RightHand,linear,1.0
50,FAB12013F,Head_RightHand,linear_angular,1.0
51,FAB12013F,Head_RightHand_LeftHand,angular,1.0
52,FAB12013F,Head_RightHand_LeftHand,linear,1.0
53,FAB12013F,Head_RightHand_LeftHand,linear_angular,1.0
54,FAB12013F,LeftHand,angular,1.0
55,FAB12013F,LeftHand,linear,0.5
56,FAB12013F,LeftHand,linear_angular,1.0
57,FAB12013F,RightHand,angular,1.0
58,FAB12013F,RightHand,linear,1.0
59,FAB12013F,RightHand,linear_angular,1.0
60,FAB12013F,RightHand_LeftHand,angular,1.0
61,FAB12013F,RightHand_LeftHand,linear,1.0
62,FAB12013F,RightHand_LeftHand,linear_angular,1.0
63,FAB12101F,Head,angular,1.0
64,FAB12101F,Head,linear,1.0
65,FAB12101F,Head,linear_angular,1.0
66,FAB12101F,Head_LeftHand,angular,1.0
67,FAB12101F,Head_LeftHand,linear,1.0
68,FAB12101F,Head_LeftHand,linear_angular,1.0
69,FAB12101F,Head_RightHand,angular,1.0
70,FAB12101F,Head_RightHand,linear,1.0
71,FAB12101F,Head_RightHand,linear_angular,1.0
72,FAB12101F,Head_RightHand_LeftHand,angular,1.0
73,FAB12101F,Head_RightHand_LeftHand,linear,1.0
74,FAB12101F,Head_RightHand_LeftHand,linear_angular,1.0
75,FAB12101F,LeftHand,angular,1.0
76,FAB12101F,LeftHand,linear,0.5
77,FAB12101F,LeftHand,linear_angular,1.0
78,FAB12101F,RightHand,angular,1.0
79,FAB12101F,RightHand,linear,1.0
80,FAB12101F,RightHand,linear_angular,1.0
81,FAB12101F,RightHand_LeftHand,angular,1.0
82,FAB12101F,RightHand_LeftHand,linear,1.0
83,FAB12101F,RightHand_LeftHand,linear_angular,1.0
84,FAB13229M,Head,angular,1.0
85,FAB13229M,Head,linear,1.0
86,FAB13229M,Head,linear_angular,1.0
87,FAB13229M,Head_LeftHand,angular,1.0
88,FAB13229M,Head_LeftHand,linear,1.0
89,FAB13229M,Head_LeftHand,linear_angular,1.0
90,FAB13229M,Head_RightHand,angular,1.0
91,FAB13229M,Head_RightHand,linear,1.0
92,FAB13229M,Head_RightHand,linear_angular,1.0
93,FAB13229M,Head_RightHand_LeftHand,angular,1.0
94,FAB13229M,Head_RightHand_LeftHand,linear,1.0
95,FAB13229M,Head_RightHand_LeftHand,linear_angular,1.0
96,FAB13229M,LeftHand,angular,1.0
97,FAB13229M,LeftHand,linear,1.0
98,FAB13229M,LeftHand,linear_angular,1.0
99,FAB13229M,RightHand,angular,1.0
100,FAB13229M,RightHand,linear,1.0
101,FAB13229M,RightHand,linear_angular,1.0
102,FAB13229M,RightHand_LeftHand,angular,1.0
103,FAB13229M,RightHand_LeftHand,linear,1.0
104,FAB13229M,RightHand_LeftHand,linear_angular,1.0
105,FAB15389M,Head,angular,0.5
106,FAB15389M,Head,linear,0.5
107,FAB15389M,Head,linear_angular,0.0
108,FAB15389M,Head_LeftHand,angular,0.5
109,FAB15389M,Head_LeftHand,linear,1.0
110,FAB15389M,Head_LeftHand,linear_angular,0.5
111,FAB15389M,Head_RightHand,angular,0.5
112,FAB15389M,Head_RightHand,linear,0.5
113,FAB15389M,Head_RightHand,linear_angular,0.5
114,FAB15389M,Head_RightHand_LeftHand,angular,0.5
115,FAB15389M,Head_RightHand_LeftHand,linear,0.5
116,FAB15389M,Head_RightHand_LeftHand,linear_angular,0.5
117,FAB15389M,LeftHand,angular,0.5
118,FAB15389M,LeftHand,linear,1.0
119,FAB15389M,LeftHand,linear_angular,0.5
120,FAB15389M,RightHand,angular,0.5
121,FAB15389M,RightHand,linear,0.5
122,FAB15389M,RightHand,linear_angular,0.5
123,FAB15389M,RightHand_LeftHand,angular,0.5
124,FAB15389M,RightHand_LeftHand,linear,0.5
125,FAB15389M,RightHand_LeftHand,linear_angular,0.5
126,FAB15605M,Head,angular,0.5
127,FAB15605M,Head,linear,0.5
128,FAB15605M,Head,linear_angular,1.0
129,FAB15605M,Head_LeftHand,angular,1.0
130,FAB15605M,Head_LeftHand,linear,1.0
131,FAB15605M,Head_LeftHand,linear_angular,1.0
132,FAB15605M,Head_RightHand,angular,0.0
133,FAB15605M,Head_RightHand,linear,1.0
134,FAB15605M,Head_RightHand,linear_angular,0.0
135,FAB15605M,Head_RightHand_LeftHand,angular,1.0
136,FAB15605M,Head_RightHand_LeftHand,linear,1.0
137,FAB15605M,Head_RightHand_LeftHand,linear_angular,1.0
138,FAB15605M,LeftHand,angular,1.0
139,FAB15605M,LeftHand,linear,1.0
140,FAB15605M,LeftHand,linear_angular,1.0
141,FAB15605M,RightHand,angular,1.0
142,FAB15605M,RightHand,linear,1.0
143,FAB15605M,RightHand,linear_angular,1.0
144,FAB15605M,RightHand_LeftHand,angular,1.0
145,FAB15605M,RightHand_LeftHand,linear,1.0
146,FAB15605M,RightHand_LeftHand,linear_angular,1.0
147,FAB15800F,Head,angular,1.0
148,FAB15800F,Head,linear,1.0
149,FAB15800F,Head,linear_angular,1.0
150,FAB15800F,Head_LeftHand,angular,1.0
151,FAB15800F,Head_LeftHand,linear,1.0
152,FAB15800F,Head_LeftHand,linear_angular,1.0
153,FAB15800F,Head_RightHand,angular,1.0
154,FAB15800F,Head_RightHand,linear,1.0
155,FAB15800F,Head_RightHand,linear_angular,1.0
156,FAB15800F,Head_RightHand_LeftHand,angular,1.0
157,FAB15800F,Head_RightHand_LeftHand,linear,1.0
158,FAB15800F,Head_RightHand_LeftHand,linear_angular,1.0
159,FAB15800F,LeftHand,angular,1.0
160,FAB15800F,LeftHand,linear,1.0
161,FAB15800F,LeftHand,linear_angular,1.0
162,FAB15800F,RightHand,angular,1.0
163,FAB15800F,RightHand,linear,1.0
164,FAB15800F,RightHand,linear_angular,1.0
165,FAB15800F,RightHand_LeftHand,angular,1.0
166,FAB15800F,RightHand_LeftHand,linear,1.0
167,FAB15800F,RightHand_LeftHand,linear_angular,1.0
168,FAB16401F,Head,angular,0.5
169,FAB16401F,Head,linear,0.5
170,FAB16401F,Head,linear_angular,1.0
171,FAB16401F,Head_LeftHand,angular,0.5
172,FAB16401F,Head_LeftHand,linear,0.5
173,FAB16401F,Head_LeftHand,linear_angular,0.5
174,FAB16401F,Head_RightHand,angular,0.5
175,FAB16401F,Head_RightHand,linear,0.5
176,FAB16401F,Head_RightHand,linear_angular,0.5
177,FAB16401F,Head_RightHand_LeftHand,angular,1.0
178,FAB16401F,Head_RightHand_LeftHand,linear,1.0
179,FAB16401F,Head_RightHand_LeftHand,linear_angular,1.0
180,FAB16401F,LeftHand,angular,0.5
181,FAB16401F,LeftHand,linear,1.0
182,FAB16401F,LeftHand,linear_angular,1.0
183,FAB16401F,RightHand,angular,1.0
184,FAB16401F,RightHand,linear,1.0
185,FAB16401F,RightHand,linear_angular,1.0
186,FAB16401F,RightHand_LeftHand,angular,1.0
187,FAB16401F,RightHand_LeftHand,linear,0.5
188,FAB16401F,RightHand_LeftHand,linear_angular,1.0
189,FAB16803F,Head,angular,1.0
190,FAB16803F,Head,linear,1.0
191,FAB16803F,Head,linear_angular,0.5
192,FAB16803F,Head_LeftHand,angular,0.5
193,FAB16803F,Head_LeftHand,linear,0.5
194,FAB16803F,Head_LeftHand,linear_angular,0.5
195,FAB16803F,Head_RightHand,angular,1.0
196,FAB16803F,Head_RightHand,linear,1.0
197,FAB16803F,Head_RightHand,linear_angular,1.0
198,FAB16803F,Head_RightHand_LeftHand,angular,0.5
199,FAB16803F,Head_RightHand_LeftHand,linear,1.0
200,FAB16803F,Head_RightHand_LeftHand,linear_angular,0.5
201,FAB16803F,LeftHand,angular,0.5
202,FAB16803F,LeftHand,linear,0.5
203,FAB16803F,LeftHand,linear_angular,0.5
204,FAB16803F,RightHand,angular,0.5
205,FAB16803F,RightHand,linear,1.0
206,FAB16803F,RightHand,linear_angular,0.5
207,FAB16803F,RightHand_LeftHand,angular,0.5
208,FAB16803F,RightHand_LeftHand,linear,1.0
209,FAB16803F,RightHand_LeftHand,linear_angular,0.5
210,FAB17745M,Head,angular,1.0
211,FAB17745M,Head,linear,1.0
212,FAB17745M,Head,linear_angular,1.0
213,FAB17745M,Head_LeftHand,angular,1.0
214,FAB17745M,Head_LeftHand,linear,1.0
215,FAB17745M,Head_LeftHand,linear_angular,1.0
216,FAB17745M,Head_RightHand,angular,1.0
217,FAB17745M,Head_RightHand,linear,1.0
218,FAB17745M,Head_RightHand,linear_angular,1.0
219,FAB17745M,Head_RightHand_LeftHand,angular,1.0
220,FAB17745M,Head_RightHand_LeftHand,linear,1.0
221,FAB17745M,Head_RightHand_LeftHand,linear_angular,1.0
222,FAB17745M,LeftHand,angular,0.5
223,FAB17745M,LeftHand,linear,1.0
224,FAB17745M,LeftHand,linear_angular,1.0
225,FAB17745M,RightHand,angular,0.5
226,FAB17745M,RightHand,linear,1.0
227,FAB17745M,RightHand,linear_angular,1.0
228,FAB17745M,RightHand_LeftHand,angular,1.0
229,FAB17745M,RightHand_LeftHand,linear,1.0
230,FAB17745M,RightHand_LeftHand,linear_angular,1.0
231,FAB19823F,Head,angular,1.0
232,FAB19823F,Head,linear,1.0
233,FAB19823F,Head,linear_angular,1.0
234,FAB19823F,Head_LeftHand,angular,1.0
235,FAB19823F,Head_LeftHand,linear,1.0
236,FAB19823F,Head_LeftHand,linear_angular,1.0
237,FAB19823F,Head_RightHand,angular,1.0
238,FAB19823F,Head_RightHand,linear,1.0
239,FAB19823F,Head_RightHand,linear_angular,1.0
240,FAB19823F,Head_RightHand_LeftHand,angular,1.0
241,FAB19823F,Head_RightHand_LeftHand,linear,1.0
242,FAB19823F,Head_RightHand_LeftHand,linear_angular,1.0
243,FAB19823F,LeftHand,angular,1.0
244,FAB19823F,LeftHand,linear,1.0
245,FAB19823F,LeftHand,linear_angular,1.0
246,FAB19823F,RightHand,angular,1.0
247,FAB19823F,RightHand,linear,1.0
248,FAB19823F,RightHand,linear_angular,1.0
249,FAB19823F,RightHand_LeftHand,angular,1.0
250,FAB19823F,RightHand_LeftHand,linear,1.0
251,FAB19823F,RightHand_LeftHand,linear_angular,1.0
252,FAB20077M,Head,angular,1.0
253,FAB20077M,Head,linear,1.0
254,FAB20077M,Head,linear_angular,1.0
255,FAB20077M,Head_LeftHand,angular,1.0
256,FAB20077M,Head_LeftHand,linear,1.0
257,FAB20077M,Head_LeftHand,linear_angular,1.0
258,FAB20077M,Head_RightHand,angular,1.0
259,FAB20077M,Head_RightHand,linear,1.0
260,FAB20077M,Head_RightHand,linear_angular,1.0
261,FAB20077M,Head_RightHand_LeftHand,angular,1.0
262,FAB20077M,Head_RightHand_LeftHand,linear,1.0
263,FAB20077M,Head_RightHand_LeftHand,linear_angular,1.0
264,FAB20077M,LeftHand,angular,1.0
265,FAB20077M,LeftHand,linear,1.0
266,FAB20077M,LeftHand,linear_angular,1.0
267,FAB20077M,RightHand,angular,1.0
268,FAB20077M,RightHand,linear,1.0
269,FAB20077M,RightHand,linear_angular,1.0
270,FAB20077M,RightHand_LeftHand,angular,1.0
271,FAB20077M,RightHand_LeftHand,linear,1.0
272,FAB20077M,RightHand_LeftHand,linear_angular,1.0
273,FAB20552M,Head,angular,1.0
274,FAB20552M,Head,linear,1.0
275,FAB20552M,Head,linear_angular,1.0
276,FAB20552M,Head_LeftHand,angular,1.0
277,FAB20552M,Head_LeftHand,linear,1.0
278,FAB20552M,Head_LeftHand,linear_angular,1.0
279,FAB20552M,Head_RightHand,angular,1.0
280,FAB20552M,Head_RightHand,linear,1.0
281,FAB20552M,Head_RightHand,linear_angular,1.0
282,FAB20552M,Head_RightHand_LeftHand,angular,1.0
283,FAB20552M,Head_RightHand_LeftHand,linear,1.0
284,FAB20552M,Head_RightHand_LeftHand,linear_angular,1.0
285,FAB20552M,LeftHand,angular,1.0
286,FAB20552M,LeftHand,linear,1.0
287,FAB20552M,LeftHand,linear_angular,1.0
288,FAB20552M,RightHand,angular,1.0
289,FAB20552M,RightHand,linear,1.0
290,FAB20552M,RightHand,linear_angular,1.0
291,FAB20552M,RightHand_LeftHand,angular,1.0
292,FAB20552M,RightHand_LeftHand,linear,1.0
293,FAB20552M,RightHand_LeftHand,linear_angular,1.0
294,FAB21337F,Head,angular,1.0
295,FAB21337F,Head,linear,0.5
296,FAB21337F,Head,linear_angular,1.0
297,FAB21337F,Head_LeftHand,angular,1.0
298,FAB21337F,Head_LeftHand,linear,1.0
299,FAB21337F,Head_LeftHand,linear_angular,1.0
300,FAB21337F,Head_RightHand,angular,0.5
301,FAB21337F,Head_RightHand,linear,1.0
302,FAB21337F,Head_RightHand,linear_angular,1.0
303,FAB21337F,Head_RightHand_LeftHand,angular,1.0
304,FAB21337F,Head_RightHand_LeftHand,linear,1.0
305,FAB21337F,Head_RightHand_LeftHand,linear_angular,1.0
306,FAB21337F,LeftHand,angular,1.0
307,FAB21337F,LeftHand,linear,1.0
308,FAB21337F,LeftHand,linear_angular,1.0
309,FAB21337F,RightHand,angular,0.5
310,FAB21337F,RightHand,linear,1.0
311,FAB21337F,RightHand,linear_angular,1.0
312,FAB21337F,RightHand_LeftHand,angular,1.0
313,FAB21337F,RightHand_LeftHand,linear,1.0
314,FAB21337F,RightHand_LeftHand,linear_angular,1.0
315,FAB21952F,Head,angular,1.0
316,FAB21952F,Head,linear,1.0
317,FAB21952F,Head,linear_angular,1.0
318,FAB21952F,Head_LeftHand,angular,1.0
319,FAB21952F,Head_LeftHand,linear,1.0
320,FAB21952F,Head_LeftHand,linear_angular,1.0
321,FAB21952F,Head_RightHand,angular,1.0
322,FAB21952F,Head_RightHand,linear,1.0
323,FAB21952F,Head_RightHand,linear_angular,1.0
324,FAB21952F,Head_RightHand_LeftHand,angular,1.0
325,FAB21952F,Head_RightHand_LeftHand,linear,1.0
326,FAB21952F,Head_RightHand_LeftHand,linear_angular,1.0
327,FAB21952F,LeftHand,angular,1.0
328,FAB21952F,LeftHand,linear,1.0
329,FAB21952F,LeftHand,linear_angular,1.0
330,FAB21952F,RightHand,angular,1.0
331,FAB21952F,RightHand,linear,1.0
332,FAB21952F,RightHand,linear_angular,1.0
333,FAB21952F,RightHand_LeftHand,angular,1.0
334,FAB21952F,RightHand_LeftHand,linear,1.0
335,FAB21952F,RightHand_LeftHand,linear_angular,1.0
336,FAB22008F,Head,angular,1.0
337,FAB22008F,Head,linear,1.0
338,FAB22008F,Head,linear_angular,1.0
339,FAB22008F,Head_LeftHand,angular,1.0
340,FAB22008F,Head_LeftHand,linear,1.0
341,FAB22008F,Head_LeftHand,linear_angular,1.0
342,FAB22008F,Head_RightHand,angular,1.0
343,FAB22008F,Head_RightHand,linear,1.0
344,FAB22008F,Head_RightHand,linear_angular,1.0
345,FAB22008F,Head_RightHand_LeftHand,angular,1.0
346,FAB22008F,Head_RightHand_LeftHand,linear,1.0
347,FAB22008F,Head_RightHand_LeftHand,linear_angular,1.0
348,FAB22008F,LeftHand,angular,1.0
349,FAB22008F,LeftHand,linear,1.0
350,FAB22008F,LeftHand,linear_angular,1.0
351,FAB22008F,RightHand,angular,1.0
352,FAB22008F,RightHand,linear,1.0
353,FAB22008F,RightHand,linear_angular,1.0
354,FAB22008F,RightHand_LeftHand,angular,1.0
355,FAB22008F,RightHand_LeftHand,linear,1.0
356,FAB22008F,RightHand_LeftHand,linear_angular,1.0
357,FAB26097M,Head,angular,1.0
358,FAB26097M,Head,linear,1.0
359,FAB26097M,Head,linear_angular,0.0
360,FAB26097M,Head_LeftHand,angular,0.0
361,FAB26097M,Head_LeftHand,linear,1.0
362,FAB26097M,Head_LeftHand,linear_angular,0.0
363,FAB26097M,Head_RightHand,angular,0.0
364,FAB26097M,Head_RightHand,linear,1.0
365,FAB26097M,Head_RightHand,linear_angular,1.0
366,FAB26097M,Head_RightHand_LeftHand,angular,0.0
367,FAB26097M,Head_RightHand_LeftHand,linear,1.0
368,FAB26097M,Head_RightHand_LeftHand,linear_angular,1.0
369,FAB26097M,LeftHand,angular,0.0
370,FAB26097M,LeftHand,linear,0.5
371,FAB26097M,LeftHand,linear_angular,0.5
372,FAB26097M,RightHand,angular,0.0
373,FAB26097M,RightHand,linear,1.0
374,FAB26097M,RightHand,linear_angular,1.0
375,FAB26097M,RightHand_LeftHand,angular,0.5
376,FAB26097M,RightHand_LeftHand,linear,1.0
377,FAB26097M,RightHand_LeftHand,linear_angular,1.0
378,FAB26282M,Head,angular,0.5
379,FAB26282M,Head,linear,1.0
380,FAB26282M,Head,linear_angular,1.0
381,FAB26282M,Head_LeftHand,angular,1.0
382,FAB26282M,Head_LeftHand,linear,0.5
383,FAB26282M,Head_LeftHand,linear_angular,1.0
384,FAB26282M,Head_RightHand,angular,1.0
385,FAB26282M,Head_RightHand,linear,1.0
386,FAB26282M,Head_RightHand,linear_angular,1.0
387,FAB26282M,Head_RightHand_LeftHand,angular,1.0
388,FAB26282M,Head_RightHand_LeftHand,linear,1.0
389,FAB26282M,Head_RightHand_LeftHand,linear_angular,1.0
390,FAB26282M,LeftHand,angular,1.0
391,FAB26282M,LeftHand,linear,0.5
392,FAB26282M,LeftHand,linear_angular,1.0
393,FAB26282M,RightHand,angular,1.0
394,FAB26282M,RightHand,linear,0.5
395,FAB26282M,RightHand,linear_angular,0.5
396,FAB26282M,RightHand_LeftHand,angular,1.0
397,FAB26282M,RightHand_LeftHand,linear,0.5
398,FAB26282M,RightHand_LeftHand,linear_angular,1.0
399,FAB28076M,Head,angular,0.5
400,FAB28076M,Head,linear,0.5
401,FAB28076M,Head,linear_angular,0.5
402,FAB28076M,Head_LeftHand,angular,1.0
403,FAB28076M,Head_LeftHand,linear,1.0
404,FAB28076M,Head_LeftHand,linear_angular,1.0
405,FAB28076M,Head_RightHand,angular,1.0
406,FAB28076M,Head_RightHand,linear,1.0
407,FAB28076M,Head_RightHand,linear_angular,1.0
408,FAB28076M,Head_RightHand_LeftHand,angular,1.0
409,FAB28076M,Head_RightHand_LeftHand,linear,1.0
410,FAB28076M,Head_RightHand_LeftHand,linear_angular,1.0
411,FAB28076M,LeftHand,angular,0.5
412,FAB28076M,LeftHand,linear,1.0
413,FAB28076M,LeftHand,linear_angular,1.0
414,FAB28076M,RightHand,angular,1.0
415,FAB28076M,RightHand,linear,0.5
416,FAB28076M,RightHand,linear_angular,1.0
417,FAB28076M,RightHand_LeftHand,angular,0.5
418,FAB28076M,RightHand_LeftHand,linear,1.0
419,FAB28076M,RightHand_LeftHand,linear_angular,1.0
420,FAB28505M,Head,angular,1.0
421,FAB28505M,Head,linear,0.5
422,FAB28505M,Head,linear_angular,1.0
423,FAB28505M,Head_LeftHand,angular,0.5
424,FAB28505M,Head_LeftHand,linear,1.0
425,FAB28505M,Head_LeftHand,linear_angular,1.0
426,FAB28505M,Head_RightHand,angular,1.0
427,FAB28505M,Head_RightHand,linear,1.0
428,FAB28505M,Head_RightHand,linear_angular,1.0
429,FAB28505M,Head_RightHand_LeftHand,angular,0.5
430,FAB28505M,Head_RightHand_LeftHand,linear,1.0
431,FAB28505M,Head_RightHand_LeftHand,linear_angular,1.0
432,FAB28505M,LeftHand,angular,0.5
433,FAB28505M,LeftHand,linear,1.0
434,FAB28505M,LeftHand,linear_angular,0.5
435,FAB28505M,RightHand,angular,1.0
436,FAB28505M,RightHand,linear,1.0
437,FAB28505M,RightHand,linear_angular,1.0
438,FAB28505M,RightHand_LeftHand,angular,0.5
439,FAB28505M,RightHand_LeftHand,linear,1.0
440,FAB28505M,RightHand_LeftHand,linear_angular,1.0
441,FAB30237M,Head,angular,1.0
442,FAB30237M,Head,linear,1.0
443,FAB30237M,Head,linear_angular,1.0
444,FAB30237M,Head_LeftHand,angular,1.0
445,FAB30237M,Head_LeftHand,linear,1.0
446,FAB30237M,Head_LeftHand,linear_angular,1.0
447,FAB30237M,Head_RightHand,angular,1.0
